STREET,INTERSECTI,ADDRESS,LONG.,LAT.
BROAD ST,PATTISON AV,S BROAD ST & PATTISON AVE,-75.17414180760,39.90543468670
BROAD ST,PACKER AV,S BROAD ST & PACKER AVE,-75.17276425090,39.91184333840
BROAD ST,CHRISTIAN ST,S BROAD ST & CHRISTIAN ST,-75.16636151720,39.94003157990
BROAD ST,CHRISTIAN ST,S BROAD ST & CHRISTIAN ST,-75.16636151720,39.94003157990
OREGON AV,5TH ST,OREGON AVE & S 5TH ST,-75.15670929160,39.91487081310
OREGON AV,5TH ST,OREGON AVE & S 5TH ST,-75.15670929160,39.91487081310
16TH ST,FITZWATER,S 16TH ST & FITZWATER ST,-75.16916648540,39.94221871990
16TH ST,FITZWATER,S 16TH ST & FITZWATER ST,-75.16916648540,39.94221871990
16TH ST,MOYAMENSING ST,S 16TH ST & W MOYAMENSING AVE,-75.17491807580,39.91577942190
16TH ST,MOYAMENSING ST,S 16TH ST & W MOYAMENSING AVE,-75.17491807580,39.91577942190
11TH ST,PATTISON AV,S 11TH ST & PATTISON AVE,-75.16851489510,39.90475007430
11TH ST,PATTISON AV,S 11TH ST & PATTISON AVE,-75.16851489510,39.90475007430
PATTISON AV,LAWRENCE ST,PATTISON AVE & S LAWRENCE ST,-75.15843135010,39.90346352570
PATTISON AV,20TH ST,PATTISON AVE & S 20TH ST,-75.18338896610,39.90661863660
BROAD ST,ZINKOFF,S BROAD ST & ZINKOFF BLVD,-75.17465663470,39.90297463250
BROAD ST,JACKSON ST,S BROAD ST & JACKSON ST,-75.17002471210,39.92313905360
LINDBERGH BLVD,70TH ST,LINDBERGH BLVD & S 70TH ST,-75.23078462960,39.91118571280
LINDBERGH BLVD,80TH ST,LINDBERGH BLVD & S 80TH ST,-75.24745992870,39.90236338620
LINDBERGH BLVD,78TH ST,LINDBERGH BLVD & S 78TH ST,-75.24324031900,39.90368928190
65TH ST,WOODLAND AV,S 65TH ST & WOODLAND AVE,-75.23432826510,39.92557419430
LINDBERGH BLVD,72ND ST,LINDBERGH BLVD & S 72ND ST,-75.23317484320,39.90907509750
BARTRAM AV,TINICUM AV,BARTRAM AVE & TINICUM BLVD,-75.24503282940,39.89037757680
WOODLAND AV,50TH ST,WOODLAND AVE & S 50TH ST,-75.21386547410,39.93997560680
58TH ST,GREENWAY AV,S 58TH ST & GREENWAY AVE,-75.22586093790,39.93348214530
LINDBERGH BLVD,68TH ST,LINDBERGH BLVD & S 68TH ST,-75.22734138160,39.91350432520
BARTRAM AV,84TH ST,BARTRAM AVE & S 84TH ST,-75.24196098960,39.89192381090
BARTRAM AV,84TH ST,BARTRAM AVE & S 84TH ST,-75.24196098960,39.89192381090
1 84TH,S/O LINDBERGH,S 84TH ST & LINDBERGH BLVD,-75.25244567160,39.89750694690
84TH ST,LINDBERGH BLVD,S 84TH ST & LINDBERGH BLVD,-75.25244567160,39.89750694690
84TH ST,CRANE ST,S 84TH ST & CRANE ST,-75.24713288450,39.89407021640
CHESTNUT ST,34TH ST,CHESTNUT ST & S 34TH ST,-75.19177958490,39.95433069930
CHESTNUT ST,34TH ST,CHESTNUT ST & S 34TH ST,-75.19177958490,39.95433069930
33RD ST,SPRUCE ST,S 33RD ST & SPRUCE ST,-75.19169040020,39.95032170620
33RD ST,SPRUCE ST,S 33RD ST & SPRUCE ST,-75.19169040020,39.95032170620
UNIVERSITY AV,WOODLAND AV,UNIVERSITY AVE & WOODLAND AVE,-75.20115753350,39.94984044330
UNIVERSITY AV,WOODLAND AV,UNIVERSITY AVE & WOODLAND AVE,-75.20115753350,39.94984044330
WOODLAND AV,43RD ST,WOODLAND AVE & S 43RD ST,-75.20838441260,39.94565560870
CHESTNUT ST,32ND ST,CHESTNUT ST & S 32ND ST,-75.18738779820,39.95378812860
CIVIC CENTER,34TH,CIVIC CENTER BLVD & S 34TH ST,-75.19310033170,39.94810082010
34TH ST,SPRUCE ST,S 34TH ST & SPRUCE ST,-75.19258718770,39.95044737850
33RD ST,WALNUT ST,S 33RD ST & WALNUT ST,-75.19003530170,39.95255562810
SPRUCE ST,38TH ST,SPRUCE ST & S 38TH ST,-75.19920568340,39.95125835540
CHESTNUT ST,30TH ST,CHESTNUT ST & S 30TH ST,-75.18374157640,39.95333646940
CHESTER AV,43RD ST,CHESTER AVE & S 43RD ST,-75.20905245480,39.94840065460
