"","start_station","end_station","volume"
"22122","9th & Arch","Rodin Museum",177
"22123","9th & Locust","Rodin Museum",176
"22124","9th & Spring Garden","Rodin Museum",199
"22125","Amtrak 30th Street Station","Rodin Museum",671
"22126","Barnes Foundation","Rodin Museum",589
"22127","Berks Station, MFL","Rodin Museum",129
"22128","Broad & Carpenter","Rodin Museum",6
"22129","Broad & Cecil B Moore","Rodin Museum",3
"22130","Broad & Christian","Rodin Museum",92
"22131","Broad & Diamond","Rodin Museum",43
"22132","Broad & Federal","Rodin Museum",149
"22133","Broad & Girard","Rodin Museum",178
"22134","Broad & Oxford","Rodin Museum",273
"22135","Broad & Passyunk","Rodin Museum",29
"22136","Broad & Pattison, BSL","Rodin Museum",11
"22137","Broad & Ritner","Rodin Museum",13
"22138","Corinthian & Poplar","Rodin Museum",112
"22139","Crescent Park","Rodin Museum",1
"22140","Darien & Catharine","Rodin Museum",49
"22141","Del. River Trail & Penn St.","Rodin Museum",46
"22142","Dornsife Center","Rodin Museum",379
"22143","Fairmount & Ridge","Rodin Museum",331
"22144","Foglietta Plaza","Rodin Museum",60
"22145","Frankford & Belgrade","Rodin Museum",42
"22146","Free Library of Philadelphia - Central Library","Rodin Museum",548
"22147","Front & Carpenter","Rodin Museum",31
"22148","Girard & Hutchinson","Rodin Museum",40
"22149","Girard Station, MFL","Rodin Museum",86
"22150","Grays Ferry & Pemberton","Rodin Museum",236
"22151","Health Sciences Drive","Rodin Museum",16
"22152","Independence Mall, NPS","Rodin Museum",218
"22153","Moyamensing & Tasker","Rodin Museum",22
"22154","Municipal Services Building Plaza","Rodin Museum",469
"22155","Parkside & Belmont, Case Building","Rodin Museum",76
"22156","ParkWest Town Center","Rodin Museum",25
"22157","Penn Treaty Park","Rodin Museum",0
"22158","Pennsylvania & Fairmount Perelman Building","Rodin Museum",2623
"22159","Pennsylvania Convention Center","Rodin Museum",413
"22160","Philadelphia Museum of Art","Rodin Museum",3798
"22161","Philadelphia Zoo","Rodin Museum",72
"22162","Point Breeze & Tasker","Rodin Museum",503
"22163","Race Street Pier","Rodin Museum",140
"22164","Ridge & Master","Rodin Museum",140
"22165","Rittenhouse Square","Rodin Museum",221
"22166","Rodin Museum","Rodin Museum",2947
"22167","Schuylkill Banks Pergola","Rodin Museum",202
"22168","Spring Garden Station, BSL","Rodin Museum",1856
"22169","Spring Garden Station, MFL","Rodin Museum",160
"22170","Temple University Station","Rodin Museum",56
"22171","The Children's Hospital of Philadelphia (CHOP)","Rodin Museum",457
"22172","The Children's Hospital of Philadelphia, Osler Circle","Rodin Museum",212
"22173","Thompson & Palmer, Adaire School","Rodin Museum",34
"22174","University City Station","Rodin Museum",687
"22175","Welcome Park, NPS","Rodin Museum",83
"22176","10th & Chestnut","Schuylkill Banks Pergola",8
"22177","10th & Federal","Schuylkill Banks Pergola",30
"22178","11th & Market","Schuylkill Banks Pergola",40
"22179","11th & Pine, Kahn Park","Schuylkill Banks Pergola",155
"22180","11th & Poplar, John F. Street Community Center","Schuylkill Banks Pergola",0
"22181","11th & Reed","Schuylkill Banks Pergola",13
"22182","11th & South","Schuylkill Banks Pergola",45
"22183","11th & Washington","Schuylkill Banks Pergola",21
"22184","12th & Callowhill","Schuylkill Banks Pergola",26
"22185","12th & Chestnut","Schuylkill Banks Pergola",36
"22186","12th & Filbert","Schuylkill Banks Pergola",12
"22187","12th & Normandy","Schuylkill Banks Pergola",0
"22188","12th & Passyunk","Schuylkill Banks Pergola",7
"22189","13th & Locust","Schuylkill Banks Pergola",73
"22190","13th & Montgomery","Schuylkill Banks Pergola",15
"22191","15th & Castle, DiSilvestro Playground","Schuylkill Banks Pergola",10
"22192","15th & Kitty Hawk","Schuylkill Banks Pergola",0
"22193","15th & Market","Schuylkill Banks Pergola",33
"22194","15th & South","Schuylkill Banks Pergola",43
"22195","15th & Spruce","Schuylkill Banks Pergola",112
"22196","16th & Arch","Schuylkill Banks Pergola",15
"22197","16th & Chestnut","Schuylkill Banks Pergola",18
"22198","17th & Girard","Schuylkill Banks Pergola",16
"22199","17th & Green","Schuylkill Banks Pergola",17
"22200","17th & JFK","Schuylkill Banks Pergola",14
"22201","17th & Locust","Schuylkill Banks Pergola",99
"22202","17th & Pine","Schuylkill Banks Pergola",55
"22203","17th & Sansom","Schuylkill Banks Pergola",31
"22204","17th & Spring Garden","Schuylkill Banks Pergola",46
"22205","18th & Chestnut","Schuylkill Banks Pergola",12
"22206","18th & Christian","Schuylkill Banks Pergola",51
"22207","18th & Fernon, Aquinas Center","Schuylkill Banks Pergola",8
"22208","18th & JFK","Schuylkill Banks Pergola",21
"22209","18th & JFK Curbside","Schuylkill Banks Pergola",0
"22210","18th & Washington, Chew Playground","Schuylkill Banks Pergola",33
"22211","19th & Girard, PTTI","Schuylkill Banks Pergola",11
"22212","19th & Lombard","Schuylkill Banks Pergola",92
"22213","19th & Market","Schuylkill Banks Pergola",43
"22214","20th & Fairmount","Schuylkill Banks Pergola",43
"22215","20th & Market","Schuylkill Banks Pergola",62
"22216","20th & Race","Schuylkill Banks Pergola",48
"22217","20th & Sansom","Schuylkill Banks Pergola",214
"22218","21st & Catharine","Schuylkill Banks Pergola",49
"22219","21st & Winter, Franklin Institute","Schuylkill Banks Pergola",17
"22220","22nd & Cecil B. Moore","Schuylkill Banks Pergola",3
"22221","22nd & Federal","Schuylkill Banks Pergola",54
"22222","23rd & Fairmount","Schuylkill Banks Pergola",115
"22223","23rd & Market","Schuylkill Banks Pergola",91
"22224","23rd & South","Schuylkill Banks Pergola",154
"22225","24th & Cecil B. Moore, Cecil B. Moore Library","Schuylkill Banks Pergola",0
"22226","24th & Race SRT","Schuylkill Banks Pergola",221
"22227","24th & Sansom","Schuylkill Banks Pergola",80
"22228","25th & Diamond","Schuylkill Banks Pergola",8
"22229","25th & Locust","Schuylkill Banks Pergola",553
"22230","27th & Girard","Schuylkill Banks Pergola",76
"22231","27th & Master, Athletic Recreation Center","Schuylkill Banks Pergola",0
"22232","27th & South","Schuylkill Banks Pergola",110
"22233","29th & Dauphin","Schuylkill Banks Pergola",3
"22234","29th & Diamond","Schuylkill Banks Pergola",0
"22235","2nd & Fairmount","Schuylkill Banks Pergola",1
"22236","2nd & Germantown","Schuylkill Banks Pergola",0
"22237","2nd & Market","Schuylkill Banks Pergola",9
"22238","2nd & Norris","Schuylkill Banks Pergola",0
"22239","2nd & Race","Schuylkill Banks Pergola",12
"22240","2nd & South","Schuylkill Banks Pergola",0
"22241","30th Street Station East","Schuylkill Banks Pergola",56
"22242","31st & Girard","Schuylkill Banks Pergola",93
"22243","32nd & Baring, Drexel Park","Schuylkill Banks Pergola",116
"22244","33rd & Dauphin","Schuylkill Banks Pergola",106
"22245","33rd & Diamond","Schuylkill Banks Pergola",46
"22246","33rd & Market","Schuylkill Banks Pergola",60
"22247","33rd & Reservoir","Schuylkill Banks Pergola",53
"22248","34th & Chestnut","Schuylkill Banks Pergola",59
"22249","34th & Mantua","Schuylkill Banks Pergola",18
"22250","34th & Spruce","Schuylkill Banks Pergola",60
"22251","36th & Sansom","Schuylkill Banks Pergola",40
"22252","38th & Market","Schuylkill Banks Pergola",33
"22253","38th & Powelton","Schuylkill Banks Pergola",140
"22254","38th & Spruce","Schuylkill Banks Pergola",45
"22255","39th & Mt. Vernon, Mantua Haverford Community Center","Schuylkill Banks Pergola",31
"22256","3rd & Girard","Schuylkill Banks Pergola",11
"22257","40th & Baltimore, Trolley Portal","Schuylkill Banks Pergola",19
"22258","40th & Spruce","Schuylkill Banks Pergola",75
"22259","40th Street Station, MFL","Schuylkill Banks Pergola",0
"22260","42nd & Lancaster","Schuylkill Banks Pergola",18
"22261","43rd & Chester, Clark Park","Schuylkill Banks Pergola",36
"22262","44th & Walnut","Schuylkill Banks Pergola",70
"22263","45th & Baltimore","Schuylkill Banks Pergola",31
"22264","46th Street Station, MFL","Schuylkill Banks Pergola",32
"22265","48th & Spruce","Schuylkill Banks Pergola",13
"22266","4th & Bainbridge","Schuylkill Banks Pergola",19
"22267","4th & Christian","Schuylkill Banks Pergola",19
"22268","4th & Walnut, NPS","Schuylkill Banks Pergola",20
"22269","4th & Washington","Schuylkill Banks Pergola",1
"22270","6th & Berks","Schuylkill Banks Pergola",0
"22271","6th & Fairmount","Schuylkill Banks Pergola",8
"22272","6th & Race","Schuylkill Banks Pergola",2
"22273","7th & Fitzwater","Schuylkill Banks Pergola",16
"22274","8th & Market","Schuylkill Banks Pergola",10
"22275","8th & Mifflin, Bok Building","Schuylkill Banks Pergola",5
"22276","9th & Arch","Schuylkill Banks Pergola",15
"22277","9th & Locust","Schuylkill Banks Pergola",34
"22278","9th & Spring Garden","Schuylkill Banks Pergola",11
"22279","Amtrak 30th Street Station","Schuylkill Banks Pergola",76
"22280","Barnes Foundation","Schuylkill Banks Pergola",61
"22281","Berks Station, MFL","Schuylkill Banks Pergola",7
"22282","Broad & Carpenter","Schuylkill Banks Pergola",3
"22283","Broad & Cecil B Moore","Schuylkill Banks Pergola",2
"22284","Broad & Christian","Schuylkill Banks Pergola",34
"22285","Broad & Diamond","Schuylkill Banks Pergola",10
"22286","Broad & Federal","Schuylkill Banks Pergola",12
"22287","Broad & Girard","Schuylkill Banks Pergola",11
"22288","Broad & Oxford","Schuylkill Banks Pergola",6
"22289","Broad & Passyunk","Schuylkill Banks Pergola",6
"22290","Broad & Pattison, BSL","Schuylkill Banks Pergola",0
"22291","Broad & Ritner","Schuylkill Banks Pergola",3
"22292","Corinthian & Poplar","Schuylkill Banks Pergola",12
"22293","Crescent Park","Schuylkill Banks Pergola",0
"22294","Darien & Catharine","Schuylkill Banks Pergola",9
"22295","Del. River Trail & Penn St.","Schuylkill Banks Pergola",7
"22296","Dornsife Center","Schuylkill Banks Pergola",80
"22297","Fairmount & Ridge","Schuylkill Banks Pergola",17
"22298","Foglietta Plaza","Schuylkill Banks Pergola",13
"22299","Frankford & Belgrade","Schuylkill Banks Pergola",6
"22300","Free Library of Philadelphia - Central Library","Schuylkill Banks Pergola",43
"22301","Front & Carpenter","Schuylkill Banks Pergola",1
"22302","Girard & Hutchinson","Schuylkill Banks Pergola",1
"22303","Girard Station, MFL","Schuylkill Banks Pergola",5
"22304","Grays Ferry & Pemberton","Schuylkill Banks Pergola",115
"22305","Health Sciences Drive","Schuylkill Banks Pergola",10
"22306","Independence Mall, NPS","Schuylkill Banks Pergola",14
"22307","Moyamensing & Tasker","Schuylkill Banks Pergola",9
"22308","Municipal Services Building Plaza","Schuylkill Banks Pergola",2
"22309","Parkside & Belmont, Case Building","Schuylkill Banks Pergola",79
"22310","ParkWest Town Center","Schuylkill Banks Pergola",17
"22311","Penn Treaty Park","Schuylkill Banks Pergola",0
"22312","Pennsylvania & Fairmount Perelman Building","Schuylkill Banks Pergola",320
"22313","Pennsylvania Convention Center","Schuylkill Banks Pergola",11
"22314","Philadelphia Museum of Art","Schuylkill Banks Pergola",2688
"22315","Philadelphia Zoo","Schuylkill Banks Pergola",24
"22316","Point Breeze & Tasker","Schuylkill Banks Pergola",27
"22317","Race Street Pier","Schuylkill Banks Pergola",18
"22318","Ridge & Master","Schuylkill Banks Pergola",5
"22319","Rittenhouse Square","Schuylkill Banks Pergola",0
"22320","Rodin Museum","Schuylkill Banks Pergola",89
"22321","Schuylkill Banks Pergola","Schuylkill Banks Pergola",3804
"22322","Spring Garden Station, BSL","Schuylkill Banks Pergola",66
"22323","Spring Garden Station, MFL","Schuylkill Banks Pergola",5
"22324","Temple University Station","Schuylkill Banks Pergola",6
"22325","The Children's Hospital of Philadelphia (CHOP)","Schuylkill Banks Pergola",18
"22326","The Children's Hospital of Philadelphia, Osler Circle","Schuylkill Banks Pergola",0
"22327","Thompson & Palmer, Adaire School","Schuylkill Banks Pergola",3
"22328","University City Station","Schuylkill Banks Pergola",36
"22329","Welcome Park, NPS","Schuylkill Banks Pergola",11
"22330","10th & Chestnut","Spring Garden Station, BSL",588
"22331","10th & Federal","Spring Garden Station, BSL",44
"22332","11th & Market","Spring Garden Station, BSL",1356
"22333","11th & Pine, Kahn Park","Spring Garden Station, BSL",206
"22334","11th & Poplar, John F. Street Community Center","Spring Garden Station, BSL",76
"22335","11th & Reed","Spring Garden Station, BSL",128
"22336","11th & South","Spring Garden Station, BSL",200
"22337","11th & Washington","Spring Garden Station, BSL",92
"22338","12th & Callowhill","Spring Garden Station, BSL",530
"22339","12th & Chestnut","Spring Garden Station, BSL",744
"22340","12th & Filbert","Spring Garden Station, BSL",1072
"22341","12th & Normandy","Spring Garden Station, BSL",0
"22342","12th & Passyunk","Spring Garden Station, BSL",34
"22343","13th & Locust","Spring Garden Station, BSL",918
"22344","13th & Montgomery","Spring Garden Station, BSL",616
"22345","15th & Castle, DiSilvestro Playground","Spring Garden Station, BSL",28
"22346","15th & Kitty Hawk","Spring Garden Station, BSL",0
"22347","15th & Market","Spring Garden Station, BSL",1064
"22348","15th & South","Spring Garden Station, BSL",168
"22349","15th & Spruce","Spring Garden Station, BSL",244
"22350","16th & Arch","Spring Garden Station, BSL",100
"22351","16th & Chestnut","Spring Garden Station, BSL",230
"22352","17th & Girard","Spring Garden Station, BSL",170
"22353","17th & Green","Spring Garden Station, BSL",120
"22354","17th & JFK","Spring Garden Station, BSL",128
"22355","17th & Locust","Spring Garden Station, BSL",176
"22356","17th & Pine","Spring Garden Station, BSL",74
"22357","17th & Sansom","Spring Garden Station, BSL",188
"22358","17th & Spring Garden","Spring Garden Station, BSL",940
"22359","18th & Chestnut","Spring Garden Station, BSL",84
"22360","18th & Christian","Spring Garden Station, BSL",38
"22361","18th & Fernon, Aquinas Center","Spring Garden Station, BSL",10
"22362","18th & JFK","Spring Garden Station, BSL",920
"22363","18th & JFK Curbside","Spring Garden Station, BSL",140
"22364","18th & Washington, Chew Playground","Spring Garden Station, BSL",46
"22365","19th & Girard, PTTI","Spring Garden Station, BSL",174
"22366","19th & Lombard","Spring Garden Station, BSL",64
"22367","19th & Market","Spring Garden Station, BSL",352
"22368","20th & Fairmount","Spring Garden Station, BSL",764
"22369","20th & Market","Spring Garden Station, BSL",330
"22370","20th & Race","Spring Garden Station, BSL",122
"22371","20th & Sansom","Spring Garden Station, BSL",452
"22372","21st & Catharine","Spring Garden Station, BSL",90
"22373","21st & Winter, Franklin Institute","Spring Garden Station, BSL",40
"22374","22nd & Cecil B. Moore","Spring Garden Station, BSL",124
"22375","22nd & Federal","Spring Garden Station, BSL",30
"22376","23rd & Fairmount","Spring Garden Station, BSL",332
"22377","23rd & Market","Spring Garden Station, BSL",294
"22378","23rd & South","Spring Garden Station, BSL",70
"22379","24th & Cecil B. Moore, Cecil B. Moore Library","Spring Garden Station, BSL",0
"22380","24th & Race SRT","Spring Garden Station, BSL",76
"22381","24th & Sansom","Spring Garden Station, BSL",64
"22382","25th & Diamond","Spring Garden Station, BSL",44
"22383","25th & Locust","Spring Garden Station, BSL",74
"22384","27th & Girard","Spring Garden Station, BSL",280
"22385","27th & Master, Athletic Recreation Center","Spring Garden Station, BSL",8
"22386","27th & South","Spring Garden Station, BSL",42
"22387","29th & Dauphin","Spring Garden Station, BSL",24
"22388","29th & Diamond","Spring Garden Station, BSL",6
"22389","2nd & Fairmount","Spring Garden Station, BSL",498
"22390","2nd & Germantown","Spring Garden Station, BSL",156
"22391","2nd & Market","Spring Garden Station, BSL",468
"22392","2nd & Norris","Spring Garden Station, BSL",0
"22393","2nd & Race","Spring Garden Station, BSL",246
"22394","2nd & South","Spring Garden Station, BSL",82
"22395","30th Street Station East","Spring Garden Station, BSL",120
"22396","31st & Girard","Spring Garden Station, BSL",280
"22397","32nd & Baring, Drexel Park","Spring Garden Station, BSL",74
"22398","33rd & Dauphin","Spring Garden Station, BSL",26
"22399","33rd & Diamond","Spring Garden Station, BSL",18
"22400","33rd & Market","Spring Garden Station, BSL",108
"22401","33rd & Reservoir","Spring Garden Station, BSL",8
"22402","34th & Chestnut","Spring Garden Station, BSL",12
"22403","34th & Mantua","Spring Garden Station, BSL",36
"22404","34th & Spruce","Spring Garden Station, BSL",32
"22405","36th & Sansom","Spring Garden Station, BSL",60
"22406","38th & Market","Spring Garden Station, BSL",34
"22407","38th & Powelton","Spring Garden Station, BSL",108
"22408","38th & Spruce","Spring Garden Station, BSL",34
"22409","39th & Mt. Vernon, Mantua Haverford Community Center","Spring Garden Station, BSL",4
"22410","3rd & Girard","Spring Garden Station, BSL",626
"22411","40th & Baltimore, Trolley Portal","Spring Garden Station, BSL",44
"22412","40th & Spruce","Spring Garden Station, BSL",22
"22413","40th Street Station, MFL","Spring Garden Station, BSL",16
"22414","42nd & Lancaster","Spring Garden Station, BSL",4
"22415","43rd & Chester, Clark Park","Spring Garden Station, BSL",200
"22416","44th & Walnut","Spring Garden Station, BSL",26
"22417","45th & Baltimore","Spring Garden Station, BSL",104
"22418","46th Street Station, MFL","Spring Garden Station, BSL",24
"22419","48th & Spruce","Spring Garden Station, BSL",48
"22420","4th & Bainbridge","Spring Garden Station, BSL",182
"22421","4th & Christian","Spring Garden Station, BSL",42
"22422","4th & Walnut, NPS","Spring Garden Station, BSL",204
"22423","4th & Washington","Spring Garden Station, BSL",28
"22424","6th & Berks","Spring Garden Station, BSL",98
"22425","6th & Fairmount","Spring Garden Station, BSL",852
"22426","6th & Race","Spring Garden Station, BSL",248
"22427","7th & Fitzwater","Spring Garden Station, BSL",92
"22428","8th & Market","Spring Garden Station, BSL",470
"22429","8th & Mifflin, Bok Building","Spring Garden Station, BSL",120
"22430","9th & Arch","Spring Garden Station, BSL",478
"22431","9th & Locust","Spring Garden Station, BSL",368
"22432","9th & Spring Garden","Spring Garden Station, BSL",1338
"22433","Amtrak 30th Street Station","Spring Garden Station, BSL",212
"22434","Barnes Foundation","Spring Garden Station, BSL",220
"22435","Berks Station, MFL","Spring Garden Station, BSL",98
"22436","Broad & Carpenter","Spring Garden Station, BSL",4
"22437","Broad & Cecil B Moore","Spring Garden Station, BSL",6
"22438","Broad & Christian","Spring Garden Station, BSL",146
"22439","Broad & Diamond","Spring Garden Station, BSL",164
"22440","Broad & Federal","Spring Garden Station, BSL",134
"22441","Broad & Girard","Spring Garden Station, BSL",666
"22442","Broad & Oxford","Spring Garden Station, BSL",940
"22443","Broad & Passyunk","Spring Garden Station, BSL",48
"22444","Broad & Pattison, BSL","Spring Garden Station, BSL",20
"22445","Broad & Ritner","Spring Garden Station, BSL",30
"22446","Corinthian & Poplar","Spring Garden Station, BSL",36
"22447","Crescent Park","Spring Garden Station, BSL",4
"22448","Darien & Catharine","Spring Garden Station, BSL",60
"22449","Del. River Trail & Penn St.","Spring Garden Station, BSL",224
"22450","Dornsife Center","Spring Garden Station, BSL",68
"22451","Fairmount & Ridge","Spring Garden Station, BSL",492
"22452","Foglietta Plaza","Spring Garden Station, BSL",138
"22453","Frankford & Belgrade","Spring Garden Station, BSL",176
"22454","Free Library of Philadelphia - Central Library","Spring Garden Station, BSL",192
"22455","Front & Carpenter","Spring Garden Station, BSL",36
"22456","Girard & Hutchinson","Spring Garden Station, BSL",118
"22457","Girard Station, MFL","Spring Garden Station, BSL",588
"22458","Grays Ferry & Pemberton","Spring Garden Station, BSL",50
"22459","Health Sciences Drive","Spring Garden Station, BSL",40
"22460","Independence Mall, NPS","Spring Garden Station, BSL",604
"22461","Moyamensing & Tasker","Spring Garden Station, BSL",84
"22462","Municipal Services Building Plaza","Spring Garden Station, BSL",486
"22463","Parkside & Belmont, Case Building","Spring Garden Station, BSL",6
"22464","ParkWest Town Center","Spring Garden Station, BSL",16
"22465","Penn Treaty Park","Spring Garden Station, BSL",0
"22466","Pennsylvania & Fairmount Perelman Building","Spring Garden Station, BSL",406
"22467","Pennsylvania Convention Center","Spring Garden Station, BSL",794
"22468","Philadelphia Museum of Art","Spring Garden Station, BSL",1272
"22469","Philadelphia Zoo","Spring Garden Station, BSL",26
"22470","Point Breeze & Tasker","Spring Garden Station, BSL",28
"22471","Race Street Pier","Spring Garden Station, BSL",488
"22472","Ridge & Master","Spring Garden Station, BSL",64
"22473","Rittenhouse Square","Spring Garden Station, BSL",62
"22474","Rodin Museum","Spring Garden Station, BSL",1446
"22475","Schuylkill Banks Pergola","Spring Garden Station, BSL",68
"22476","Spring Garden Station, BSL","Spring Garden Station, BSL",4748
"22477","Spring Garden Station, MFL","Spring Garden Station, BSL",498
"22478","Temple University Station","Spring Garden Station, BSL",220
"22479","The Children's Hospital of Philadelphia (CHOP)","Spring Garden Station, BSL",202
"22480","The Children's Hospital of Philadelphia, Osler Circle","Spring Garden Station, BSL",348
"22481","Thompson & Palmer, Adaire School","Spring Garden Station, BSL",134
"22482","University City Station","Spring Garden Station, BSL",146
"22483","Welcome Park, NPS","Spring Garden Station, BSL",50
"22484","10th & Chestnut","Spring Garden Station, MFL",63
"22485","10th & Federal","Spring Garden Station, MFL",11
"22486","11th & Market","Spring Garden Station, MFL",88
"22487","11th & Pine, Kahn Park","Spring Garden Station, MFL",54
"22488","11th & Poplar, John F. Street Community Center","Spring Garden Station, MFL",9
"22489","11th & Reed","Spring Garden Station, MFL",15
"22490","11th & South","Spring Garden Station, MFL",42
"22491","11th & Washington","Spring Garden Station, MFL",14
"22492","12th & Callowhill","Spring Garden Station, MFL",194
"22493","12th & Chestnut","Spring Garden Station, MFL",99
"22494","12th & Filbert","Spring Garden Station, MFL",65
"22495","12th & Normandy","Spring Garden Station, MFL",0
"22496","12th & Passyunk","Spring Garden Station, MFL",6
"22497","13th & Locust","Spring Garden Station, MFL",59
"22498","13th & Montgomery","Spring Garden Station, MFL",22
"22499","15th & Castle, DiSilvestro Playground","Spring Garden Station, MFL",6
"22500","15th & Kitty Hawk","Spring Garden Station, MFL",2
"22501","15th & Market","Spring Garden Station, MFL",101
"22502","15th & South","Spring Garden Station, MFL",34
"22503","15th & Spruce","Spring Garden Station, MFL",46
"22504","16th & Arch","Spring Garden Station, MFL",11
"22505","16th & Chestnut","Spring Garden Station, MFL",41
"22506","17th & Girard","Spring Garden Station, MFL",11
"22507","17th & Green","Spring Garden Station, MFL",8
"22508","17th & JFK","Spring Garden Station, MFL",1
"22509","17th & Locust","Spring Garden Station, MFL",35
"22510","17th & Pine","Spring Garden Station, MFL",27
"22511","17th & Sansom","Spring Garden Station, MFL",27
"22512","17th & Spring Garden","Spring Garden Station, MFL",327
"22513","18th & Chestnut","Spring Garden Station, MFL",7
"22514","18th & Christian","Spring Garden Station, MFL",4
"22515","18th & Fernon, Aquinas Center","Spring Garden Station, MFL",4
"22516","18th & JFK","Spring Garden Station, MFL",121
"22517","18th & JFK Curbside","Spring Garden Station, MFL",21
"22518","18th & Washington, Chew Playground","Spring Garden Station, MFL",27
"22519","19th & Girard, PTTI","Spring Garden Station, MFL",6
"22520","19th & Lombard","Spring Garden Station, MFL",64
"22521","19th & Market","Spring Garden Station, MFL",39
"22522","20th & Fairmount","Spring Garden Station, MFL",66
"22523","20th & Market","Spring Garden Station, MFL",86
"22524","20th & Race","Spring Garden Station, MFL",33
"22525","20th & Sansom","Spring Garden Station, MFL",56
"22526","21st & Catharine","Spring Garden Station, MFL",17
"22527","21st & Winter, Franklin Institute","Spring Garden Station, MFL",9
"22528","22nd & Cecil B. Moore","Spring Garden Station, MFL",8
"22529","22nd & Federal","Spring Garden Station, MFL",21
"22530","23rd & Fairmount","Spring Garden Station, MFL",27
"22531","23rd & Market","Spring Garden Station, MFL",62
"22532","23rd & South","Spring Garden Station, MFL",32
"22533","24th & Cecil B. Moore, Cecil B. Moore Library","Spring Garden Station, MFL",1
"22534","24th & Race SRT","Spring Garden Station, MFL",26
"22535","24th & Sansom","Spring Garden Station, MFL",5
"22536","25th & Diamond","Spring Garden Station, MFL",3
"22537","25th & Locust","Spring Garden Station, MFL",13
"22538","27th & Girard","Spring Garden Station, MFL",64
"22539","27th & Master, Athletic Recreation Center","Spring Garden Station, MFL",7
"22540","27th & South","Spring Garden Station, MFL",16
"22541","29th & Dauphin","Spring Garden Station, MFL",2
"22542","29th & Diamond","Spring Garden Station, MFL",0
"22543","2nd & Fairmount","Spring Garden Station, MFL",125
"22544","2nd & Germantown","Spring Garden Station, MFL",57
"22545","2nd & Market","Spring Garden Station, MFL",290
"22546","2nd & Norris","Spring Garden Station, MFL",0
"22547","2nd & Race","Spring Garden Station, MFL",136
"22548","2nd & South","Spring Garden Station, MFL",59
"22549","30th Street Station East","Spring Garden Station, MFL",30
"22550","31st & Girard","Spring Garden Station, MFL",14
"22551","32nd & Baring, Drexel Park","Spring Garden Station, MFL",22
"22552","33rd & Dauphin","Spring Garden Station, MFL",0
"22553","33rd & Diamond","Spring Garden Station, MFL",2
"22554","33rd & Market","Spring Garden Station, MFL",28
"22555","33rd & Reservoir","Spring Garden Station, MFL",3
"22556","34th & Chestnut","Spring Garden Station, MFL",1
"22557","34th & Mantua","Spring Garden Station, MFL",3
"22558","34th & Spruce","Spring Garden Station, MFL",4
"22559","36th & Sansom","Spring Garden Station, MFL",4
"22560","38th & Market","Spring Garden Station, MFL",5
"22561","38th & Powelton","Spring Garden Station, MFL",4
"22562","38th & Spruce","Spring Garden Station, MFL",1
"22563","39th & Mt. Vernon, Mantua Haverford Community Center","Spring Garden Station, MFL",1
"22564","3rd & Girard","Spring Garden Station, MFL",116
"22565","40th & Baltimore, Trolley Portal","Spring Garden Station, MFL",1
"22566","40th & Spruce","Spring Garden Station, MFL",5
"22567","40th Street Station, MFL","Spring Garden Station, MFL",4
"22568","42nd & Lancaster","Spring Garden Station, MFL",3
"22569","43rd & Chester, Clark Park","Spring Garden Station, MFL",8
"22570","44th & Walnut","Spring Garden Station, MFL",4
"22571","45th & Baltimore","Spring Garden Station, MFL",2
"22572","46th Street Station, MFL","Spring Garden Station, MFL",3
"22573","48th & Spruce","Spring Garden Station, MFL",1
"22574","4th & Bainbridge","Spring Garden Station, MFL",120
"22575","4th & Christian","Spring Garden Station, MFL",19
"22576","4th & Walnut, NPS","Spring Garden Station, MFL",82
"22577","4th & Washington","Spring Garden Station, MFL",25
"22578","6th & Berks","Spring Garden Station, MFL",21
"22579","6th & Fairmount","Spring Garden Station, MFL",262
"22580","6th & Race","Spring Garden Station, MFL",37
"22581","7th & Fitzwater","Spring Garden Station, MFL",26
"22582","8th & Market","Spring Garden Station, MFL",88
"22583","8th & Mifflin, Bok Building","Spring Garden Station, MFL",54
"22584","9th & Arch","Spring Garden Station, MFL",112
"22585","9th & Locust","Spring Garden Station, MFL",91
"22586","9th & Spring Garden","Spring Garden Station, MFL",382
"22587","Amtrak 30th Street Station","Spring Garden Station, MFL",19
"22588","Barnes Foundation","Spring Garden Station, MFL",20
"22589","Berks Station, MFL","Spring Garden Station, MFL",86
"22590","Broad & Carpenter","Spring Garden Station, MFL",1
"22591","Broad & Cecil B Moore","Spring Garden Station, MFL",0
"22592","Broad & Christian","Spring Garden Station, MFL",17
"22593","Broad & Diamond","Spring Garden Station, MFL",9
"22594","Broad & Federal","Spring Garden Station, MFL",25
"22595","Broad & Girard","Spring Garden Station, MFL",27
"22596","Broad & Oxford","Spring Garden Station, MFL",58
"22597","Broad & Passyunk","Spring Garden Station, MFL",19
"22598","Broad & Pattison, BSL","Spring Garden Station, MFL",4
"22599","Broad & Ritner","Spring Garden Station, MFL",4
"22600","Corinthian & Poplar","Spring Garden Station, MFL",4
"22601","Crescent Park","Spring Garden Station, MFL",3
"22602","Darien & Catharine","Spring Garden Station, MFL",20
"22603","Del. River Trail & Penn St.","Spring Garden Station, MFL",272
"22604","Dornsife Center","Spring Garden Station, MFL",10
"22605","Fairmount & Ridge","Spring Garden Station, MFL",102
"22606","Foglietta Plaza","Spring Garden Station, MFL",80
"22607","Frankford & Belgrade","Spring Garden Station, MFL",76
"22608","Free Library of Philadelphia - Central Library","Spring Garden Station, MFL",48
